	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
86	7	2.0038	0.3084	2.0655	0.2985	1024	relu	xent
87	8	2.0332	0.3021	2.0669	0.2799	1024	relu	xent
88	9	2.0214	0.3005	2.0483	0.2857	1024	relu	xent
89	10	2.0289	0.2961	2.1576	0.2578	1024	relu	xent
90	11	2.0320	0.2935	2.1085	0.2868	1024	relu	xent
91	12	2.0392	0.2912	2.1068	0.2848	1024	relu	xent
92	13	2.0253	0.2946	2.1322	0.2818	1024	relu	xent
93	14	2.0263	0.2980	2.1775	0.2525	1024	relu	xent
94	15	2.0313	0.2935	2.1393	0.2742	1024	relu	xent
95	16	2.0480	0.2843	2.2689	0.2547	1024	relu	xent
96	17	2.0682	0.2772	2.1941	0.2566	1024	relu	xent
97	18	2.0645	0.2761	2.2272	0.2505	1024	relu	xent
98	19	2.0721	0.2685	2.2997	0.2308	1024	relu	xent
99	20	2.0699	0.2732	2.2591	0.2360	1024	relu	xent
100	1	1.9625	0.3179	2.1239	0.2615	2048	relu	xent
101	2	1.9429	0.3376	2.0070	0.3329	2048	relu	xent
102	3	1.9514	0.3367	1.9754	0.3224	2048	relu	xent
103	4	1.9673	0.3312	1.9388	0.3371	2048	relu	xent
104	5	1.9651	0.3295	2.1563	0.2926	2048	relu	xent
105	6	1.9800	0.3267	2.0221	0.3173	2048	relu	xent
106	7	1.9827	0.3314	2.3250	0.3001	2048	relu	xent
107	8	1.9775	0.3280	2.0584	0.2885	2048	relu	xent
108	9	2.0017	0.3190	2.0837	0.2760	2048	relu	xent
109	10	2.0005	0.3178	2.1227	0.3121	2048	relu	xent
110	11	1.9983	0.3167	2.1164	0.2736	2048	relu	xent
111	12	2.0141	0.3076	2.1538	0.3036	2048	relu	xent
112	13	1.9820	0.3206	2.1648	0.2884	2048	relu	xent
113	14	2.0076	0.3104	2.1545	0.2791	2048	relu	xent
114	15	2.0505	0.2901	2.2025	0.2645	2048	relu	xent
115	16	2.0222	0.2979	2.1794	0.2886	2048	relu	xent
116	17	2.0100	0.3071	2.3086	0.2678	2048	relu	xent
117	18	2.0443	0.2970	2.3261	0.2708	2048	relu	xent
118	19	2.0368	0.2950	2.2178	0.2647	2048	relu	xent
119	20	2.0344	0.2977	2.1697	0.2504	2048	relu	xent
120	1	1.9417	0.3237	1.9190	0.3616	4096	relu	xent
121	2	1.9146	0.3444	2.4330	0.3162	4096	relu	xent
122	3	1.9140	0.3470	2.3853	0.3173	4096	relu	xent
123	4	1.9146	0.3502	1.9696	0.3328	4096	relu	xent
124	5	1.9105	0.3525	2.0333	0.3431	4096	relu	xent
125	6	1.9118	0.3549	1.9686	0.3362	4096	relu	xent
126	7	1.9217	0.3498	2.0849	0.3295	4096	relu	xent
127	8	1.9308	0.3553	2.0634	0.3072	4096	relu	xent
128	9	1.9275	0.3501	2.1374	0.3181	4096	relu	xent
129	10	1.9306	0.3494	2.0868	0.3043	4096	relu	xent
130	11	1.9312	0.3489	2.1001	0.3147	4096	relu	xent
131	12	1.9195	0.3542	2.0871	0.2987	4096	relu	xent
132	13	1.9280	0.3514	2.1353	0.3001	4096	relu	xent
133	14	1.9485	0.3443	2.1805	0.2946	4096	relu	xent
134	15	1.9448	0.3428	2.1592	0.2907	4096	relu	xent
135	16	1.9400	0.3458	2.1543	0.3091	4096	relu	xent
136	17	1.9327	0.3454	2.2847	0.2762	4096	relu	xent
