	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
423	4	1.7716	0.3943	1.7589	0.4043	2048	tanh	xent
424	5	1.7556	0.3991	1.8947	0.3721	2048	tanh	xent
425	6	1.7396	0.4086	1.7892	0.3979	2048	tanh	xent
426	7	1.7307	0.4121	1.8629	0.3742	2048	tanh	xent
427	8	1.7203	0.4186	1.9389	0.3649	2048	tanh	xent
428	9	1.7185	0.4202	1.7939	0.3957	2048	tanh	xent
429	10	1.7145	0.4204	1.8558	0.3871	2048	tanh	xent
430	11	1.6846	0.4294	1.9219	0.3734	2048	tanh	xent
431	12	1.6885	0.4308	1.8374	0.3940	2048	tanh	xent
432	13	1.6735	0.4403	1.8756	0.3920	2048	tanh	xent
433	14	1.6739	0.4393	1.9221	0.3906	2048	tanh	xent
434	15	1.6514	0.4471	1.8309	0.3909	2048	tanh	xent
435	16	1.6412	0.4506	1.8757	0.3854	2048	tanh	xent
436	17	1.6293	0.4505	1.8476	0.3905	2048	tanh	xent
437	18	1.6268	0.4542	1.8693	0.3941	2048	tanh	xent
438	19	1.6249	0.4559	1.9009	0.3864	2048	tanh	xent
439	20	1.6176	0.4592	1.8799	0.3896	2048	tanh	xent
440	1	1.8829	0.3418	1.7881	0.3793	4096	tanh	xent
441	2	1.8177	0.3747	1.8420	0.3752	4096	tanh	xent
442	3	1.7903	0.3852	1.8796	0.3551	4096	tanh	xent
443	4	1.7657	0.3977	1.7571	0.4081	4096	tanh	xent
444	5	1.7521	0.4022	1.8482	0.3714	4096	tanh	xent
445	6	1.7347	0.4101	1.9188	0.3436	4096	tanh	xent
446	7	1.7290	0.4142	1.8109	0.3893	4096	tanh	xent
447	8	1.7069	0.4227	1.8426	0.3658	4096	tanh	xent
448	9	1.6952	0.4272	1.8019	0.4026	4096	tanh	xent
449	10	1.6739	0.4329	1.7929	0.4140	4096	tanh	xent
450	11	1.6644	0.4397	1.8227	0.4002	4096	tanh	xent
451	12	1.6599	0.4420	1.8313	0.3888	4096	tanh	xent
452	13	1.6292	0.4492	1.8310	0.3966	4096	tanh	xent
453	14	1.6284	0.4520	1.8057	0.4166	4096	tanh	xent
454	15	1.6303	0.4514	1.8228	0.4036	4096	tanh	xent
455	16	1.6104	0.4583	1.8733	0.3864	4096	tanh	xent
456	17	1.6071	0.4602	2.0412	0.3824	4096	tanh	xent
457	18	1.6007	0.4592	1.8304	0.3944	4096	tanh	xent
458	19	1.5879	0.4660	1.8489	0.4013	4096	tanh	xent
459	20	1.5764	0.4681	1.9035	0.4032	4096	tanh	xent
460	1	1.8890	0.3374	1.8444	0.3437	8192	tanh	xent
461	2	1.8137	0.3741	1.7710	0.3765	8192	tanh	xent
462	3	1.7838	0.3848	1.8877	0.3500	8192	tanh	xent
463	4	1.7647	0.3984	1.8122	0.3836	8192	tanh	xent
464	5	1.7493	0.4050	1.8923	0.3654	8192	tanh	xent
465	6	1.7310	0.4101	1.7653	0.3954	8192	tanh	xent
466	7	1.7145	0.4185	1.8104	0.3791	8192	tanh	xent
467	8	1.7026	0.4242	1.8057	0.3906	8192	tanh	xent
468	9	1.6787	0.4303	1.8737	0.3813	8192	tanh	xent
469	10	1.6663	0.4378	1.8381	0.3839	8192	tanh	xent
470	11	1.6513	0.4419	1.8263	0.3959	8192	tanh	xent
471	12	1.6301	0.4478	1.8363	0.3992	8192	tanh	xent
472	13	1.6185	0.4531	1.7574	0.4122	8192	tanh	xent
473	14	1.6184	0.4496	1.7761	0.4057	8192	tanh	xent
474	15	1.5887	0.4624	1.8230	0.4024	8192	tanh	xent
475	16	1.5989	0.4605	1.9395	0.3767	8192	tanh	xent
476	17	1.5805	0.4666	1.8677	0.3923	8192	tanh	xent
477	18	1.5721	0.4705	1.8478	0.4023	8192	tanh	xent
478	19	1.5574	0.4769	1.7686	0.4224	8192	tanh	xent
479	20	1.5315	0.4813	1.8851	0.3914	8192	tanh	xent
480	1	0.0803	0.3590	2.1839	0.3863	64	tanh	mse
481	2	0.0769	0.4106	2.1591	0.4129	64	tanh	mse
482	3	0.0752	0.4302	2.1512	0.4286	64	tanh	mse
483	4	0.0739	0.4463	2.1463	0.4332	64	tanh	mse
484	5	0.0727	0.4619	2.1401	0.4325	64	tanh	mse
485	6	0.0719	0.4713	2.1294	0.4387	64	tanh	mse
486	7	0.0710	0.4777	2.1306	0.4388	64	tanh	mse
487	8	0.0703	0.4834	2.1219	0.4453	64	tanh	mse
488	9	0.0696	0.4916	2.1120	0.4512	64	tanh	mse
489	10	0.0688	0.5012	2.1173	0.4502	64	tanh	mse
490	11	0.0682	0.5054	2.1131	0.4476	64	tanh	mse
491	12	0.0676	0.5122	2.1078	0.4523	64	tanh	mse
492	13	0.0670	0.5171	2.1110	0.4497	64	tanh	mse
493	14	0.0666	0.5221	2.1078	0.4579	64	tanh	mse
494	15	0.0660	0.5289	2.0999	0.4555	64	tanh	mse
495	16	0.0655	0.5306	2.0933	0.4582	64	tanh	mse
496	17	0.0651	0.5368	2.1026	0.4525	64	tanh	mse
497	18	0.0645	0.5419	2.0970	0.4607	64	tanh	mse
498	19	0.0642	0.5474	2.0961	0.4569	64	tanh	mse
499	20	0.0637	0.5521	2.1010	0.4568	64	tanh	mse
500	1	0.0800	0.3661	2.1722	0.4010	128	tanh	mse
501	2	0.0758	0.4245	2.1512	0.4289	128	tanh	mse
502	3	0.0737	0.4524	2.1422	0.4390	128	tanh	mse
503	4	0.0719	0.4721	2.1266	0.4446	128	tanh	mse
504	5	0.0706	0.4860	2.1262	0.4393	128	tanh	mse
505	6	0.0693	0.5012	2.1156	0.4539	128	tanh	mse
506	7	0.0682	0.5154	2.1033	0.4668	128	tanh	mse
507	8	0.0672	0.5245	2.1085	0.4650	128	tanh	mse
508	9	0.0661	0.5352	2.0910	0.4665	128	tanh	mse
509	10	0.0652	0.5455	2.0884	0.4726	128	tanh	mse
510	11	0.0643	0.5546	2.0951	0.4640	128	tanh	mse
511	12	0.0634	0.5645	2.0775	0.4615	128	tanh	mse
512	13	0.0625	0.5746	2.0836	0.4797	128	tanh	mse
513	14	0.0618	0.5802	2.0818	0.4711	128	tanh	mse
514	15	0.0612	0.5898	2.0798	0.4669	128	tanh	mse
515	16	0.0604	0.5971	2.0809	0.4663	128	tanh	mse
516	17	0.0597	0.6029	2.0838	0.4692	128	tanh	mse
517	18	0.0591	0.6113	2.0733	0.4642	128	tanh	mse
518	19	0.0583	0.6166	2.0755	0.4570	128	tanh	mse
519	20	0.0576	0.6262	2.0792	0.4652	128	tanh	mse
520	1	0.0796	0.3704	2.1734	0.4068	256	tanh	mse
521	2	0.0752	0.4327	2.1455	0.4321	256	tanh	mse
522	3	0.0726	0.4659	2.1271	0.4563	256	tanh	mse
523	4	0.0705	0.4895	2.1261	0.4548	256	tanh	mse
524	5	0.0688	0.5105	2.1038	0.4707	256	tanh	mse
525	6	0.0672	0.5273	2.1062	0.4733	256	tanh	mse
526	7	0.0656	0.5430	2.0946	0.4747	256	tanh	mse
527	8	0.0641	0.5645	2.0872	0.4687	256	tanh	mse
528	9	0.0628	0.5777	2.0849	0.4699	256	tanh	mse
529	10	0.0614	0.5934	2.0718	0.4749	256	tanh	mse
530	11	0.0601	0.6059	2.0714	0.4742	256	tanh	mse
531	12	0.0588	0.6203	2.0756	0.4768	256	tanh	mse
532	13	0.0576	0.6352	2.0777	0.4745	256	tanh	mse
533	14	0.0563	0.6466	2.0706	0.4771	256	tanh	mse
534	15	0.0551	0.6599	2.0659	0.4745	256	tanh	mse
535	16	0.0540	0.6728	2.0647	0.4676	256	tanh	mse
536	17	0.0530	0.6821	2.0635	0.4700	256	tanh	mse
537	18	0.0519	0.6943	2.0538	0.4740	256	tanh	mse
538	19	0.0509	0.7044	2.0599	0.4637	256	tanh	mse
539	20	0.0498	0.7155	2.0590	0.4755	256	tanh	mse
540	1	0.0792	0.3766	2.1644	0.4179	512	tanh	mse
541	2	0.0745	0.4400	2.1332	0.4518	512	tanh	mse
542	3	0.0715	0.4770	2.1216	0.4503	512	tanh	mse
543	4	0.0691	0.5047	2.1072	0.4748	512	tanh	mse
544	5	0.0670	0.5315	2.0950	0.4694	512	tanh	mse
545	6	0.0649	0.5566	2.0861	0.4762	512	tanh	mse
546	7	0.0629	0.5839	2.0850	0.4816	512	tanh	mse
547	8	0.0610	0.6075	2.0720	0.4814	512	tanh	mse
548	9	0.0591	0.6275	2.0756	0.4799	512	tanh	mse
549	10	0.0573	0.6491	2.0645	0.4774	512	tanh	mse
550	11	0.0556	0.6698	2.0687	0.4869	512	tanh	mse
551	12	0.0537	0.6890	2.0565	0.4858	512	tanh	mse
552	13	0.0520	0.7078	2.0587	0.4817	512	tanh	mse
553	14	0.0502	0.7248	2.0480	0.4832	512	tanh	mse
554	15	0.0486	0.7432	2.0582	0.4753	512	tanh	mse
555	16	0.0468	0.7614	2.0520	0.4752	512	tanh	mse
556	17	0.0451	0.7790	2.0502	0.4773	512	tanh	mse
557	18	0.0436	0.7922	2.0445	0.4791	512	tanh	mse
558	19	0.0419	0.8091	2.0453	0.4712	512	tanh	mse
559	20	0.0405	0.8207	2.0426	0.4733	512	tanh	mse
560	1	0.0793	0.3726	2.1686	0.4180	1024	tanh	mse
561	2	0.0742	0.4449	2.1384	0.4573	1024	tanh	mse
562	3	0.0708	0.4828	2.1134	0.4713	1024	tanh	mse
563	4	0.0681	0.5196	2.1011	0.4635	1024	tanh	mse
564	5	0.0656	0.5507	2.0947	0.4728	1024	tanh	mse
565	6	0.0632	0.5794	2.0838	0.4922	1024	tanh	mse
566	7	0.0607	0.6154	2.0831	0.4803	1024	tanh	mse
567	8	0.0585	0.6427	2.0751	0.4790	1024	tanh	mse
568	9	0.0560	0.6733	2.0688	0.4766	1024	tanh	mse
569	10	0.0537	0.7028	2.0571	0.4932	1024	tanh	mse
570	11	0.0512	0.7309	2.0452	0.4944	1024	tanh	mse
571	12	0.0488	0.7593	2.0536	0.4929	1024	tanh	mse
572	13	0.0465	0.7831	2.0591	0.4813	1024	tanh	mse
573	14	0.0443	0.8057	2.0475	0.4876	1024	tanh	mse
574	15	0.0420	0.8266	2.0373	0.4856	1024	tanh	mse
575	16	0.0398	0.8487	2.0405	0.4893	1024	tanh	mse
576	17	0.0376	0.8663	2.0401	0.4814	1024	tanh	mse
577	18	0.0354	0.8843	2.0292	0.4930	1024	tanh	mse
578	19	0.0335	0.8980	2.0346	0.4805	1024	tanh	mse
579	20	0.0315	0.9125	2.0346	0.4846	1024	tanh	mse
580	1	0.0793	0.3775	2.1625	0.4247	2048	tanh	mse
581	2	0.0739	0.4466	2.1358	0.4452	2048	tanh	mse
582	3	0.0703	0.4926	2.1182	0.4628	2048	tanh	mse
583	4	0.0675	0.5261	2.0931	0.4791	2048	tanh	mse
584	5	0.0646	0.5627	2.0860	0.4841	2048	tanh	mse
585	6	0.0622	0.5924	2.0839	0.4836	2048	tanh	mse
586	7	0.0593	0.6308	2.0708	0.4945	2048	tanh	mse
587	8	0.0568	0.6656	2.0630	0.4937	2048	tanh	mse
588	9	0.0539	0.7013	2.0655	0.4934	2048	tanh	mse
589	10	0.0512	0.7334	2.0451	0.5027	2048	tanh	mse
590	11	0.0485	0.7652	2.0442	0.4879	2048	tanh	mse
591	12	0.0458	0.7933	2.0504	0.4865	2048	tanh	mse
592	13	0.0431	0.8218	2.0402	0.4940	2048	tanh	mse
593	14	0.0403	0.8499	2.0394	0.4964	2048	tanh	mse
594	15	0.0377	0.8709	2.0401	0.4832	2048	tanh	mse
595	16	0.0351	0.8906	2.0300	0.4915	2048	tanh	mse
596	17	0.0324	0.9104	2.0420	0.4875	2048	tanh	mse
597	18	0.0299	0.9259	2.0363	0.4950	2048	tanh	mse
598	19	0.0275	0.9384	2.0297	0.4954	2048	tanh	mse
599	20	0.0253	0.9502	2.0250	0.4968	2048	tanh	mse
600	1	0.0791	0.3794	2.1608	0.4256	4096	tanh	mse
601	2	0.0737	0.4496	2.1371	0.4522	4096	tanh	mse
602	3	0.0702	0.4933	2.1120	0.4761	4096	tanh	mse
603	4	0.0671	0.5302	2.0942	0.4883	4096	tanh	mse
604	5	0.0643	0.5678	2.0870	0.4837	4096	tanh	mse
605	6	0.0613	0.6064	2.0751	0.4835	4096	tanh	mse
606	7	0.0586	0.6426	2.0766	0.4852	4096	tanh	mse
607	8	0.0557	0.6807	2.0676	0.4800	4096	tanh	mse
608	9	0.0531	0.7135	2.0420	0.5015	4096	tanh	mse
609	10	0.0502	0.7478	2.0504	0.4845	4096	tanh	mse
610	11	0.0475	0.7774	2.0657	0.4812	4096	tanh	mse
611	12	0.0449	0.8042	2.0373	0.5035	4096	tanh	mse
612	13	0.0425	0.8272	2.0269	0.5027	4096	tanh	mse
613	14	0.0397	0.8538	2.0417	0.5076	4096	tanh	mse
614	15	0.0369	0.8759	2.0459	0.4922	4096	tanh	mse
615	16	0.0342	0.8962	2.0314	0.4991	4096	tanh	mse
616	17	0.0314	0.9133	2.0311	0.4948	4096	tanh	mse
617	18	0.0291	0.9279	2.0321	0.4984	4096	tanh	mse
618	19	0.0265	0.9412	2.0275	0.4941	4096	tanh	mse
619	20	0.0240	0.9534	2.0287	0.4852	4096	tanh	mse
620	1	0.0791	0.3776	2.1565	0.4216	8192	tanh	mse
621	2	0.0737	0.4485	2.1274	0.4575	8192	tanh	mse
622	3	0.0701	0.4928	2.1014	0.4617	8192	tanh	mse
623	4	0.0669	0.5323	2.1012	0.4790	8192	tanh	mse
624	5	0.0639	0.5711	2.0944	0.4794	8192	tanh	mse
625	6	0.0609	0.6116	2.0737	0.4869	8192	tanh	mse
626	7	0.0582	0.6468	2.0722	0.4848	8192	tanh	mse
627	8	0.0554	0.6819	2.0707	0.4887	8192	tanh	mse
628	9	0.0535	0.7086	2.0654	0.4907	8192	tanh	mse
629	10	0.0506	0.7435	2.0519	0.5025	8192	tanh	mse
630	11	0.0480	0.7696	2.0545	0.4920	8192	tanh	mse
631	12	0.0458	0.7974	2.0496	0.4963	8192	tanh	mse
632	13	0.0434	0.8188	2.0494	0.4848	8192	tanh	mse
633	14	0.0411	0.8390	2.0410	0.4944	8192	tanh	mse
634	15	0.0390	0.8587	2.0412	0.4897	8192	tanh	mse
635	16	0.0368	0.8721	2.0408	0.5031	8192	tanh	mse
636	17	0.0344	0.8911	2.0443	0.4899	8192	tanh	mse
637	18	0.0319	0.9073	2.0280	0.5016	8192	tanh	mse
638	19	0.0298	0.9202	2.0289	0.5058	8192	tanh	mse
639	20	0.0276	0.9324	2.0310	0.5008	8192	tanh	mse
